Time,UserID,User full name,Affected user,Event context,Component,Event name,Description
"4/01/21, 23:38",33,anonfirstname31 anonlastname31,anonfirstname31 anonlastname31,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '33' viewed the user report in the gradebook.
"4/01/21, 23:38",33,anonfirstname31 anonlastname31,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '33' viewed the course with id '6'.
"4/01/21, 23:38",33,anonfirstname31 anonlastname31,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '33' viewed the 'quiz' activity with course module id '212'.
"4/01/21, 23:30",64,anonfirstname62 anonlastname62,anonfirstname62 anonlastname62,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '64' viewed the user report in the gradebook.
"4/01/21, 23:28",67,anonfirstname65 anonlastname65,anonfirstname65 anonlastname65,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '67' viewed the user report in the gradebook.
"4/01/21, 23:27",67,anonfirstname65 anonlastname65,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '67' viewed the course with id '6'.
"4/01/21, 22:42",53,anonfirstname51 anonlastname51,anonfirstname51 anonlastname51,Course: Introduction to Learning Analytics 2020/2021,Overview report,Grade overview report viewed,The user with id '53' viewed the overview report in the gradebook.
"4/01/21, 22:42",53,anonfirstname51 anonlastname51,anonfirstname51 anonlastname51,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '53' viewed the user report in the gradebook.
"4/01/21, 22:42",53,anonfirstname51 anonlastname51,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '53' viewed the course with id '6'.
"4/01/21, 22:26",33,anonfirstname31 anonlastname31,-,URL: Week 1: Introductory lecture for the course (video),URL,Course module viewed,The user with id '33' viewed the 'url' activity with course module id '103'.
"4/01/21, 22:18",68,anonfirstname66 anonlastname66,anonfirstname66 anonlastname66,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '68' viewed the user report in the gradebook.
"4/01/21, 22:17",68,anonfirstname66 anonlastname66,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '68' viewed the course with id '6'.
"4/01/21, 22:17",68,anonfirstname66 anonlastname66,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '68' viewed the course with id '6'.
"4/01/21, 22:17",68,anonfirstname66 anonlastname66,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '68' viewed the 'quiz' activity with course module id '212'.
"4/01/21, 22:17",68,anonfirstname66 anonlastname66,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '68' viewed the course with id '6'.
"4/01/21, 22:17",68,anonfirstname66 anonlastname66,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '68' viewed the course with id '6'.
"4/01/21, 22:16",49,anonfirstname47 anonlastname47,anonfirstname47 anonlastname47,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '49' viewed the user report in the gradebook.
"4/01/21, 22:16",49,anonfirstname47 anonlastname47,-,Course: Introduction to Learning Analytics 2020/2021,Assignment,Course module instance list viewed,The user with id '49' viewed the instance list for the module 'assign' in the course with id '6'.
"4/01/21, 22:16",49,anonfirstname47 anonlastname47,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '49' viewed the course with id '6'.
"4/01/21, 22:09",33,anonfirstname31 anonlastname31,-,URL: Syllabus info SVHI.06.016 (20/21 A block mode),URL,Course module viewed,The user with id '33' viewed the 'url' activity with course module id '100'.
"4/01/21, 22:08",33,anonfirstname31 anonlastname31,-,URL: Week 1: Introductory lecture for the course (video),URL,Course module viewed,The user with id '33' viewed the 'url' activity with course module id '103'.
"4/01/21, 22:06",33,anonfirstname31 anonlastname31,-,URL: Syllabus info SVHI.06.016 (20/21 A block mode),URL,Course module viewed,The user with id '33' viewed the 'url' activity with course module id '100'.
"4/01/21, 22:05",50,anonfirstname48 anonlastname48,anonfirstname48 anonlastname48,Course: Introduction to Learning Analytics 2020/2021,Overview report,Grade overview report viewed,The user with id '50' viewed the overview report in the gradebook.
"4/01/21, 22:05",50,anonfirstname48 anonlastname48,anonfirstname48 anonlastname48,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '50' viewed the user report in the gradebook.
"4/01/21, 22:05",50,anonfirstname48 anonlastname48,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '50' viewed the course with id '6'.
"4/01/21, 22:05",33,anonfirstname31 anonlastname31,-,Course: Introduction to Learning Analytics 2020/2021,System,Course viewed,The user with id '33' viewed the course with id '6'.
"4/01/21, 22:05",33,anonfirstname31 anonlastname31,anonfirstname31 anonlastname31,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '33' viewed the user report in the gradebook.
"4/01/21, 22:04",50,anonfirstname48 anonlastname48,anonfirstname48 anonlastname48,Course: Introduction to Learning Analytics 2020/2021,User report,Grade user report viewed,The user with id '50' viewed the user report in the gradebook.
